first_seen_at,report_time,delay_hours,cycle_hour,xuhao,engname,tfbh,available_institutions
2026-07-13 19:54:18,2026-07-13 06:00:00,13.905,06,20260054,BAVI,2609,BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-13 00:00:00,19.905,00,20260054,BAVI,2609,RKSLWTKO|FENGQING|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-12 18:00:00,25.905,18,20260054,BAVI,2609,RKSLWTKO|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-12 12:00:00,31.905,12,20260054,BAVI,2609,RKSLWTKO|FENGQING|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-12 06:00:00,37.905,06,20260054,BAVI,2609,RKSLWTKO|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-12 00:00:00,43.905,00,20260054,BAVI,2609,RKSLWTKO|FENGQING|VHHHWTSS|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-13 06:00:00,13.905,06,20260059,HAISHEN,2611,RKSLWTKO|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-13 00:00:00,19.905,00,20260059,HAISHEN,2611,FENGQING|BABJWTPQ|RJTDSUBJ
2026-07-13 19:54:18,2026-07-13 00:00:00,19.905,00,20260058,CP-90,,FENGQING
2026-07-13 19:54:18,2026-07-12 12:00:00,31.905,12,20260058,CP-90,,FENGQING
2026-07-13 20:54:56,2026-07-13 12:00:00,8.916,12,20260054,BAVI,2609,BABJWTPQ
2026-07-13 21:55:18,2026-07-13 12:00:00,9.922,12,20260059,HAISHEN,2611,RKSLWTKO|BABJWTPQ|RJTDSUBJ
2026-07-14 02:57:36,2026-07-13 18:00:00,8.96,18,20260054,BAVI,2609,BABJWTPQ
2026-07-14 02:57:36,2026-07-13 18:00:00,8.96,18,20260059,HAISHEN,2611,BABJWTPQ
2026-07-14 03:57:56,2026-07-13 12:00:00,15.966,12,20260058,CP-90,,FENGQING
2026-07-14 08:59:58,2026-07-14 00:00:00,8.999,00,20260054,BAVI,2609,BABJWTPQ
2026-07-14 08:59:58,2026-07-14 00:00:00,8.999,00,20260059,HAISHEN,2611,BABJWTPQ
2026-07-14 15:02:37,2026-07-14 06:00:00,9.044,06,20260054,BAVI,2609,BABJWTPQ
2026-07-14 16:03:13,2026-07-14 00:00:00,16.054,00,20260058,CP-90,,FENGQING
2026-07-14 22:05:31,2026-07-14 12:00:00,10.092,12,20260054,BAVI,2609,RJTDSUBJ
2026-07-15 04:07:59,2026-07-14 18:00:00,10.133,18,20260054,BAVI,2609,RJTDSUBJ
2026-07-15 04:07:59,2026-07-14 12:00:00,16.133,12,20260058,CP-90,,FENGQING
